Face_ID,Performance,Video URL
1,1.106,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-999607261342550
2,1.393,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-958774641659407
2,0.6434,
2,0.625,
2,0.9191,
2,0.2689,
2,2.2847,
2,1.393,
2,1.106,
2,0.6434,
2,0.9191,
2,0.625,
2,0.2689,
2,2.2847,
2,1.106,
2,0.6434,
2,0.9191,
2,1.393,
3,1.393,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-958774641659407
3,0.625,
3,1.106,
3,0.6434,
3,2.2847,
3,2.2847,
3,0.2689,
3,0.2689,
3,0.9191,
3,0.625,
3,1.106,
3,0.6434,
4,1.393,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-958774641659407
4,1.393,
4,0.9191,
4,0.625,
4,0.6434,
4,1.106,
4,0.9191,
4,0.625,
4,1.393,
4,2.2847,
4,2.2847,
4,0.2689,
4,0.2689,
4,0.429,
4,0.6434,
4,1.106,
4,0.9191,
4,0.625,
4,0.429,
4,2.2847,
4,0.2689,
4,0.6434,
5,0.6434,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-989284361966196
5,1.106,
5,1.106,
5,0.9191,
5,0.9191,
5,0.625,
5,0.625,
5,1.3293,
5,0.6434,
5,1.106,
5,0.9191,
5,0.625,
5,1.5853,
5,1.3293,
5,1.5853,
5,0.6434,
6,0.6434,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-989284361966196
6,1.106,
6,1.106,
6,1.3293,
6,1.8266,
6,1.2383,
6,1.2383,
6,0.9191,
6,0.9191,
6,0.625,
6,0.625,
6,1.5853,
6,0.6434,
6,1.106,
6,1.3293,
6,1.8266,
6,0.9191,
6,0.625,
6,1.2383,
6,1.2383,
6,1.5853,
6,0.6434,
6,1.106,
6,1.3293,
6,1.8266,
6,0.625,
6,0.9191,
6,1.2383,
6,1.2383,
6,1.5853,
6,0.6434,
6,1.3293,
6,1.106,
6,1.8266,
6,0.9191,
6,0.625,
6,1.5853,
6,1.2383,
6,1.2383,
6,1.3293,
6,1.8266,
6,1.974,
6,1.5853,
6,1.8266,
6,1.2383,
6,1.2383,
6,1.3293,
6,1.3293,
6,1.974,
6,1.6515,
6,2.0133,
6,1.8266,
6,1.2383,
6,1.2383,
6,1.5853,
6,1.5853,
6,1.3293,
6,1.974,
6,1.6515,
6,2.0133,
6,1.5853,
6,1.974,
6,1.8266,
6,1.8266,
6,1.6515,
6,2.0133,
6,1.3293,
6,1.3293,
6,1.974,
6,1.8266,
6,1.6515,
6,2.0133,
6,1.5853,
6,1.5853,
6,1.2875,
6,1.3293,
6,1.974,
7,2.0126,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992418235673669
7,2.0133,
7,1.6515,
7,1.5853,
7,1.2875,
7,1.8266,
7,1.8266,
7,1.3293,
7,1.974,
7,2.0133,
7,1.5853,
7,1.6515,
7,1.3293,
7,1.8266,
7,2.0126,
7,2.0126,
7,1.2875,
7,1.2875,
7,1.5853,
7,1.6515,
7,2.0133,
7,1.974,
7,1.974,
7,1.8266,
7,2.0126,
7,1.5975,
7,1.974,
7,1.8266,
7,1.5842,
7,1.6515,
7,1.6515,
7,1.5975,
7,2.0133,
7,2.0133,
7,2.0126,
8,2.0126,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992418235673669
8,1.2875,
8,1.2875,
8,1.5842,
8,1.974,
8,1.974,
8,1.6515,
8,2.0133,
8,1.5975,
8,2.0126,
8,1.5842,
8,1.2875,
8,1.974,
8,1.5975,
8,2.0126,
8,1.6515,
8,1.6515,
8,2.0133,
8,2.0133,
8,1.5842,
8,1.974,
8,1.5975,
8,1.6515,
9,2.0126,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992418235673669
9,2.0133,
9,1.5842,
9,1.974,
9,1.5975,
9,2.0126,
9,2.0133,
9,1.5842,
9,1.6515,
9,1.5975,
9,0.9139,
9,2.0126,
9,2.0133,
9,1.6515,
9,1.5842,
9,0.9139,
9,1.5975,
9,1.5975,
10,1.5009,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-987643572956494
10,2.0666,
10,1.5842,
10,1.5842,
10,1.5975,
10,0.9139,
10,0.9139,
10,1.5009,
10,2.0666,
11,1.4262,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-942779243913664
11,1.4262,
11,1.5842,
11,1.5009,
12,2.0126,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-992418235673669
12,1.5975,
12,1.5975,
12,2.0666,
12,1.5009,
12,0.9139,
12,0.9139,
13,1.3256,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-929300948587514
13,1.3256,
13,1.4262,
14,1.4262,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-942779243913664
14,1.5842,
14,1.5842,
14,1.5975,
14,2.0666,
14,1.5009,
14,0.9139,
14,1.7708,
14,1.4262,
14,1.5842,
14,1.5975,
14,1.3256,
14,1.3256,
14,2.0666,
14,1.7708,
14,1.4262,
14,1.5842,
14,1.5975,
14,2.0666,
14,1.3256,
14,1.5842,
14,2.0666,
14,1.7708,
14,1.7708,
14,1.5009,
14,1.3256,
14,1.8351,
14,1.5009,
14,1.8351,
14,0.6777,
14,0.6777,
14,2.0666,
14,2.0666,
14,2.0997,
14,1.7708,
14,1.7708,
14,1.8351,
14,0.3247,
14,2.0666,
14,0.6777,
14,0.6777,
14,2.0997,
14,0.3247,
14,1.8351,
14,1.7708,
14,0.6777,
14,2.0997,
14,2.0666,
14,2.0666,
14,1.8351,
14,0.3247,
14,0.6777,
14,2.0997,
14,2.0666,
14,1.8351,
14,0.3247,
14,2.0997,
14,2.0666,
14,1.8351,
14,0.3247,
14,2.0997,
14,2.0666,
14,0.6293,
14,0.3247,
14,1.8351,
14,1.8351,
14,2.0997,
14,0.6293,
14,0.333,
14,0.3247,
14,1.8351,
14,0.6293,
14,0.333,
14,1.9896,
14,2.0997,
14,2.0997,
14,1.2673,
14,0.3247,
14,0.3247,
14,0.6293,
14,0.333,
14,1.8351,
14,1.8351,
14,1.9896,
14,2.0997,
14,1.2673,
14,0.3247,
14,0.333,
14,0.6293,
14,1.8351,
14,1.9896,
14,2.0997,
14,2.0997,
14,0.333,
14,0.6293,
14,1.2673,
14,1.2673,
14,1.8351,
14,0.3247,
14,1.9896,
14,0.3247,
14,0.333,
14,2.0997,
14,0.6293,
14,1.8351,
14,1.9896,
14,0.3247,
14,0.333,
14,2.0997,
14,1.9896,
14,0.3247,
14,1.2673,
14,1.2673,
14,0.6293,
14,0.6293,
14,2.0997,
14,0.3247,
14,1.9896,
14,0.333,
14,0.333,
14,0.6293,
14,1.2673,
14,0.333,
14,1.8586,
14,1.9896,
14,1.9896,
14,0.6293,
14,0.6293,
14,1.8586,
14,1.9896,
14,0.4572,
14,0.333,
14,0.333,
14,0.6293,
14,0.4572,
14,1.8586,
14,0.6293,
14,0.333,
14,1.9896,
14,1.9896,
14,1.8586,
14,0.4572,
14,0.7001,
14,0.333,
14,0.6293,
14,1.9896,
14,0.4572,
14,1.8586,
14,0.7001,
14,0.333,
14,1.9896,
14,0.4572,
14,1.8586,
14,1.9896,
14,0.3688,
14,0.7001,
14,0.7001,
14,1.8586,
14,0.3688,
14,0.4572,
14,1.4343,
14,1.8586,
14,1.8586,
14,0.3688,
14,0.3688,
14,0.7001,
14,0.7001,
14,1.4343,
14,1.8586,
14,1.4343,
14,0.7001,
14,1.8586,
14,1.8586,
14,1.4343,
14,0.3688,
14,0.3688,
14,1.8586,
14,1.4343,
14,0.2189,
14,1.8586,
14,1.4343,
14,0.3688,
14,0.2189,
14,1.8586,
14,1.4343,
14,0.2189,
15,2.263,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-983335896508749
15,2.2595,
15,0.2189,
15,1.4343,
15,1.4343,
16,2.263,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-983335896508749
16,1.2673,
16,0.2189,
16,1.4343,
16,0.5158,
17,0.5158,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949
17,0.5158,
17,2.263,
17,1.2673,
17,0.2189,
18,0.5496,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-965108935263649
18,1.8667,
18,2.2595,
18,0.5158,
18,1.4343,
18,1.4343,
18,2.263,
18,1.2673,
18,0.2189,
18,0.5158,
18,1.8667,
18,1.4343,
19,2.263,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-983335896508749
19,1.2673,
19,1.8667,
19,0.2189,
19,0.2189,
19,1.4343,
19,1.2673,
19,2.263,
19,1.8667,
19,0.2189,
19,1.4343,
19,0.5496,
19,0.5496,
20,0.5496,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-965108935263649
21,0.5496,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-965108935263649
21,2.2595,
21,1.2673,
21,1.8667,
21,0.5496,
21,1.2673,
21,0.5158,
22,0.5158,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-932703258597949
22,0.5158,
22,0.5158,
22,0.5158,
22,0.2189,
22,0.2189,
22,1.8667,
22,0.4711,
22,0.5496,
22,0.5158,
22,0.2189,
22,1.8667,
22,1.2673,
22,1.2673,
22,0.4711,
22,0.5496,
22,0.2189,
22,1.2673,
22,0.4711,
22,1.8667,
22,1.8667,
22,0.2189,
22,0.4711,
22,1.1227,
22,1.8667,
22,1.2673,
22,1.2673,
22,0.4711,
22,0.924,
22,1.2673,
22,0.7173,
22,1.1227,
22,1.1227,
22,1.8667,
22,1.8667,
22,0.4711,
22,0.924,
22,1.2673,
22,0.7173,
